date	fly_id	species	strain	sex	tastant_comparison	food_choice	NumberOfSips/1hour
NA	fly_105	D. simulans	04	female	noni juice vs grape juice	grape_juice	289
NA	fly_106	D. simulans	04	female	noni juice vs grape juice	noni_juice	19
NA	fly_106	D. simulans	04	female	noni juice vs grape juice	grape_juice	320
NA	fly_107	D. simulans	04	female	noni juice vs grape juice	noni_juice	415
NA	fly_107	D. simulans	04	female	noni juice vs grape juice	grape_juice	587
NA	fly_108	D. simulans	04	female	noni juice vs grape juice	noni_juice	21
NA	fly_108	D. simulans	04	female	noni juice vs grape juice	grape_juice	194
NA	fly_109	D. simulans	04	female	noni juice vs grape juice	noni_juice	31
NA	fly_109	D. simulans	04	female	noni juice vs grape juice	grape_juice	287
NA	fly_110	D. simulans	04	female	noni juice vs grape juice	noni_juice	292
NA	fly_110	D. simulans	04	female	noni juice vs grape juice	grape_juice	301
NA	fly_111	D. simulans	04	female	noni juice vs grape juice	noni_juice	28
NA	fly_111	D. simulans	04	female	noni juice vs grape juice	grape_juice	334
NA	fly_112	D. sechellia	07	female	noni juice vs grape juice	noni_juice	226
NA	fly_112	D. sechellia	07	female	noni juice vs grape juice	grape_juice	541
NA	fly_113	D. sechellia	07	female	noni juice vs grape juice	noni_juice	473
NA	fly_113	D. sechellia	07	female	noni juice vs grape juice	grape_juice	351
NA	fly_114	D. sechellia	07	female	noni juice vs grape juice	noni_juice	130
NA	fly_114	D. sechellia	07	female	noni juice vs grape juice	grape_juice	215
NA	fly_115	D. sechellia	07	female	noni juice vs grape juice	noni_juice	275
NA	fly_115	D. sechellia	07	female	noni juice vs grape juice	grape_juice	376
NA	fly_116	D. sechellia	07	female	noni juice vs grape juice	noni_juice	129
NA	fly_116	D. sechellia	07	female	noni juice vs grape juice	grape_juice	275
NA	fly_117	D. sechellia	07	female	noni juice vs grape juice	noni_juice	177
NA	fly_117	D. sechellia	07	female	noni juice vs grape juice	grape_juice	257
NA	fly_118	D. sechellia	07	female	noni juice vs grape juice	noni_juice	155
NA	fly_118	D. sechellia	07	female	noni juice vs grape juice	grape_juice	149
NA	fly_119	D. sechellia	07	female	noni juice vs grape juice	noni_juice	337
NA	fly_119	D. sechellia	07	female	noni juice vs grape juice	grape_juice	138
NA	fly_120	D. sechellia	07	female	noni juice vs grape juice	noni_juice	55
NA	fly_120	D. sechellia	07	female	noni juice vs grape juice	grape_juice	226
NA	fly_121	D. sechellia	07	female	noni juice vs grape juice	noni_juice	145
NA	fly_121	D. sechellia	07	female	noni juice vs grape juice	grape_juice	296
NA	fly_122	D. sechellia	07	female	noni juice vs grape juice	noni_juice	254
NA	fly_122	D. sechellia	07	female	noni juice vs grape juice	grape_juice	498
NA	fly_123	D. sechellia	07	female	noni juice vs grape juice	noni_juice	287
NA	fly_123	D. sechellia	07	female	noni juice vs grape juice	grape_juice	283
NA	fly_124	D. sechellia	07	female	noni juice vs grape juice	noni_juice	309
NA	fly_124	D. sechellia	07	female	noni juice vs grape juice	grape_juice	518
NA	fly_125	D. sechellia	07	female	noni juice vs grape juice	noni_juice	161
NA	fly_125	D. sechellia	07	female	noni juice vs grape juice	grape_juice	262
NA	fly_126	D. sechellia	07	female	noni juice vs grape juice	noni_juice	114
NA	fly_126	D. sechellia	07	female	noni juice vs grape juice	grape_juice	193
NA	fly_127	D. sechellia	07	female	noni juice vs grape juice	noni_juice	142
NA	fly_127	D. sechellia	07	female	noni juice vs grape juice	grape_juice	651
NA	fly_128	D. sechellia	07	male	noni juice vs grape juice	noni_juice	68
NA	fly_128	D. sechellia	07	male	noni juice vs grape juice	grape_juice	614
NA	fly_129	D. sechellia	07	male	noni juice vs grape juice	noni_juice	369
NA	fly_129	D. sechellia	07	male	noni juice vs grape juice	grape_juice	322
NA	fly_130	D. sechellia	07	male	noni juice vs grape juice	noni_juice	38
NA	fly_130	D. sechellia	07	male	noni juice vs grape juice	grape_juice	417
NA	fly_131	D. sechellia	07	male	noni juice vs grape juice	noni_juice	143
NA	fly_131	D. sechellia	07	male	noni juice vs grape juice	grape_juice	395
NA	fly_132	D. sechellia	07	male	noni juice vs grape juice	noni_juice	164
NA	fly_132	D. sechellia	07	male	noni juice vs grape juice	grape_juice	150
NA	fly_133	D. sechellia	07	male	noni juice vs grape juice	noni_juice	152
NA	fly_133	D. sechellia	07	male	noni juice vs grape juice	grape_juice	97
NA	fly_134	D. sechellia	07	male	noni juice vs grape juice	noni_juice	170
NA	fly_134	D. sechellia	07	male	noni juice vs grape juice	grape_juice	413
NA	fly_135	D. sechellia	07	male	noni juice vs grape juice	noni_juice	123
NA	fly_135	D. sechellia	07	male	noni juice vs grape juice	grape_juice	85
NA	fly_136	D. sechellia	07	male	noni juice vs grape juice	noni_juice	1101
NA	fly_136	D. sechellia	07	male	noni juice vs grape juice	grape_juice	314
NA	fly_137	D. sechellia	07	male	noni juice vs grape juice	noni_juice	127
NA	fly_137	D. sechellia	07	male	noni juice vs grape juice	grape_juice	234
NA	fly_138	D. sechellia	07	male	noni juice vs grape juice	noni_juice	324
NA	fly_138	D. sechellia	07	male	noni juice vs grape juice	grape_juice	166
NA	fly_139	D. sechellia	07	male	noni juice vs grape juice	noni_juice	61
NA	fly_139	D. sechellia	07	male	noni juice vs grape juice	grape_juice	262
NA	fly_140	D. sechellia	07	male	noni juice vs grape juice	noni_juice	180
NA	fly_140	D. sechellia	07	male	noni juice vs grape juice	grape_juice	291
NA	fly_141	D. sechellia	07	male	noni juice vs grape juice	noni_juice	351
NA	fly_141	D. sechellia	07	male	noni juice vs grape juice	grape_juice	158
NA	fly_142	D. sechellia	07	male	noni juice vs grape juice	noni_juice	143
NA	fly_142	D. sechellia	07	male	noni juice vs grape juice	grape_juice	86
2021-10-05	fly_143	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	284
2021-10-05	fly_143	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	628
