fly_id	species	genotype	sex	stimulation	ROI_quantified	stimulus	dff
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	noni juice	0.12706204522060963
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	no stimulus	0.05125846800710548
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	motor region	sucrose 200mM	0.4098423579511384
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	denatonium benzoate 10mM	0.16152959267604344
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	grape juice	0.1254009222043822
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	water	0.2926134586098061
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	noni juice	0.1422771281684895
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	no stimulus	0.02737763540027495
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	sucrose 200mM	0.2685176817203946
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	denatonium benzoate 10mM	0.15246626115291648
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	grape juice	0.12320506307173314
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	water	0.1931072586117259
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	noni juice	0.12853397187556254
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	no stimulus	0.01140462092910393
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	sucrose 200mM	0.20684462280257385
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	denatonium benzoate 10mM	0.40893569198006063
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	grape juice	0.14624483492959367
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	water	0.20120832085078233
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	noni juice	0.1201422127247539
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	no stimulus	0.07621698494559939
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory central	sucrose 200mM	0.1537562132949295
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	denatonium benzoate 10mM	0.263530717695462
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	grape juice	0.19858310161862447
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	water	0.4620835278435098
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	noni juice	0.26675954097283056
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	no stimulus	0.07504408873062654
fly_7	D. melanogaster	w*;nSyb-GAL4/+	female	labellum	sensory lateral	sucrose 200mM	0.43109887326885854
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	motor region	denatonium benzoate 10mM	0.04974166295665462
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	motor region	grape juice	0.00565259413385548
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	motor region	water	0.06063670487560124
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	motor region	noni juice	0.09166660076245088
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	motor region	no stimulus	0.04070248531404268
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	denatonium benzoate 10mM	0.05942235117828283
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	grape juice	0.03318361562029198
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	water	0.06612017942768673
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	noni juice	0.04918027468386567
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	no stimulus	0.01881324932299756
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	denatonium benzoate 10mM	0.06104731000080815
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	grape juice	0.0145506194886353
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	water	0.04918143275735068
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	noni juice	0.03422405524003527
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	no stimulus	0.01203899679500425
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	sensory central	denatonium benzoate 10mM	0.15676453620009978
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	sensory central	grape juice	0.05750587598776049
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	sensory central	water	0.08672156201833786
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	sensory central	noni juice	0.07949412862429929
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	sensory central	no stimulus	0.06531786806275326
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	sensory lateral	denatonium benzoate 10mM	0.307689559413034
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	sensory lateral	grape juice	0.1960194677758565
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	sensory lateral	water	0.27593057139236077
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	sensory lateral	noni juice	0.20070363011660447
fly_8	D. sechellia	w*;nSyb-GAL4/+	female	labellum	sensory lateral	no stimulus	0.03637486533106995
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	motor region	denatonium benzoate 10mM	0.2049721254039644
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	motor region	grape juice	0.14635999046804948
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	motor region	water	-0.00278510287153123
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	motor region	noni juice	0.18352380241929517
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	motor region	no stimulus	0.11874513683160803
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	motor region	sucrose 200mM	0.11877792563990804
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	denatonium benzoate 10mM	0.08439362624307685
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	grape juice	0.06989973381685065
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	water	0.0448859490432328
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	noni juice	0.01635985138853072
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	no stimulus	-0.07401632808903211
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 1	sucrose 200mM	0.01921122795120973
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	denatonium benzoate 10mM	0.01997141239214212
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	grape juice	0.03247348850730044
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	water	0.02395383357992601
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	noni juice	0.01207258998055656
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	no stimulus	-0.11236093266928118
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	interneuron region 2	sucrose 200mM	-0.02622883171101933
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	sensory central	denatonium benzoate 10mM	0.09269052865631888
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	sensory central	grape juice	0.08861475681656002
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	sensory central	water	0.02371986359595565
fly_9	D. sechellia	w*;nSyb-GAL4/+	female	labellum	sensory central	noni juice	-0.02249620591097823
